Config,Query,Anomaly_Score,Rules_Fired
PL2,' OR '1'='1,5,942100
PL2,' OR '1'='1'--,5,942100
PL2,' OR 1=1--,5,942100
PL2,admin'--,5,942100
PL2,' OR 'x'='x,5,942100
PL2,1' OR '1'='1,5,942100
PL2,' OR ''=',5,942100
PL2,1 OR 1=1,5,942100
PL2,' OR 1=1#,5,942100
PL2,""" OR 1=1--",5,942100
PL2,') OR ('1'='1,5,942100
PL2,'; DROP TABLE users--,5,942100
PL2,1'; DROP TABLE users--,5,942100
PL2,' AND 1=1--,5,942100
PL2,' AND 1=2--,5,942100
PL2,' OR 1=1 ORDER BY 1--,5,942100
PL2,' OR 'a'='a,5,942100
PL2,1; SELECT * FROM users--,10,"932115, 942360"
PL2,' OR 1=1 LIMIT 1--,5,942100
PL2,1 AND 1=1,5,942100
PL2,1 AND 1=2,5,942100
PL2,1' AND '1'='1,5,942100
PL2,1' AND '1'='2,5,942100
PL2,"' AND SUBSTRING(username,1,1)='a'--",5,942100
PL2,' AND LENGTH(password)>5--,5,942100
PL2,"1 AND SUBSTRING(@@version,1,1)='5'",5,942100
PL2,"' AND ASCII(SUBSTRING((SELECT database()),1,1))>64--",15,"942100, 942140, 942190"
PL2,' AND 1=(SELECT 1 FROM users WHERE username='admin')--,5,942100
PL2,1' AND (SELECT COUNT(*) FROM users)>0-- -,5,942100
PL2,' AND (SELECT 1 FROM information_schema.tables WHERE table_name='users')=1--,15,"942100, 942140, 942190"
PL2,"' AND IF(1=1,1,2)=1--",10,"942100, 942230"
PL2,1 AND EXISTS(SELECT * FROM users WHERE username='admin'),5,942100
PL2,' AND NOT EXISTS(SELECT * FROM users WHERE username='nonexistent')--,5,942100
PL2,1' AND (SELECT 1 FROM users WHERE username LIKE 'adm%')=1--,8,"920220, 942100"
PL2,' AND (SELECT 1)=1--,5,942100
PL2,' AND 2>1--,5,942100
PL2,1 AND (SELECT COUNT(*)>0 FROM users),5,942100
PL2,' UNION SELECT NULL--,15,"942100, 942190, 942360"
PL2,"' UNION SELECT NULL,NULL--",15,"942100, 942190, 942360"
PL2,"' UNION SELECT NULL,NULL,NULL--",15,"942100, 942190, 942360"
PL2,"' UNION SELECT 1,2,3--",15,"942100, 942190, 942360"
PL2,"' UNION SELECT username,password,3 FROM users--",20,"942100, 942190, 942270, 942360"
PL2,"' UNION SELECT table_name,2,3 FROM information_schema.tables--",25,"942100, 942140, 942190, 942270, 942360"
PL2,"' UNION SELECT column_name,2,3 FROM information_schema.columns WHERE table_name=",25,"942100, 942140, 942190, 942270, 942360"
PL2,1 UNION SELECT NULL--,15,"942100, 942190, 942360"
PL2,1 UNION ALL SELECT NULL--,15,"942100, 942190, 942360"
PL2,"1' UNION SELECT @@version,NULL--",15,"942100, 942190, 942360"
PL2,"' UNION SELECT 1,group_concat(table_name),3 FROM information_schema.tables WHERE",25,"942100, 942140, 942190, 942270, 942360"
PL2,"' UNION SELECT 1,group_concat(username,0x3a,password),3 FROM users--",20,"942100, 942190, 942270, 942360"
PL2,"1 UNION SELECT NULL,NULL-- -",15,"942100, 942190, 942360"
PL2,"' UNION SELECT load_file('/etc/passwd'),2,3--",25,"930120, 932160, 942100, 942190, 942360"
