ID,Category,Subcategory,Payload,Status,Result,Latency_ms
SQLI_1,SQLi,Basic,' OR '1'='1,403,BLOCKED,31.61
SQLI_2,SQLi,Basic,' OR '1'='1'--,403,BLOCKED,15.48
SQLI_3,SQLi,Basic,' OR 1=1--,403,BLOCKED,34.12
SQLI_4,SQLi,Basic,admin'--,403,BLOCKED,20.54
SQLI_5,SQLi,Basic,' OR 'x'='x,403,BLOCKED,14.22
SQLI_6,SQLi,Basic,1' OR '1'='1,403,BLOCKED,13.09
SQLI_7,SQLi,Basic,' OR ''=',403,BLOCKED,11.42
SQLI_8,SQLi,Basic,1 OR 1=1,403,BLOCKED,8.88
SQLI_9,SQLi,Basic,' OR 1=1#,403,BLOCKED,24.12
SQLI_10,SQLi,Basic,""" OR 1=1--",403,BLOCKED,11.78
SQLI_11,SQLi,Basic,') OR ('1'='1,403,BLOCKED,32.83
SQLI_12,SQLi,Basic,'; DROP TABLE users--,403,BLOCKED,21.14
SQLI_13,SQLi,Basic,1'; DROP TABLE users--,403,BLOCKED,21.79
SQLI_14,SQLi,Basic,' AND 1=1--,403,BLOCKED,20.07
SQLI_15,SQLi,Basic,' AND 1=2--,403,BLOCKED,13.23
SQLI_16,SQLi,Basic,' OR 1=1 ORDER BY 1--,403,BLOCKED,32.03
SQLI_17,SQLi,Basic,' OR 'a'='a,403,BLOCKED,22.48
SQLI_18,SQLi,Basic,admin'#,500,ALLOWED,44.22
SQLI_19,SQLi,Basic,1; SELECT * FROM users--,403,BLOCKED,13.57
SQLI_20,SQLi,Basic,' OR 1=1 LIMIT 1--,403,BLOCKED,12.72
SQLI_21,SQLi,Boolean,1 AND 1=1,403,BLOCKED,13.02
SQLI_22,SQLi,Boolean,1 AND 1=2,403,BLOCKED,27.48
SQLI_23,SQLi,Boolean,1' AND '1'='1,403,BLOCKED,23.07
SQLI_24,SQLi,Boolean,1' AND '1'='2,403,BLOCKED,14.72
SQLI_25,SQLi,Boolean,"' AND SUBSTRING(username,1,1)='a'--",403,BLOCKED,13.02
SQLI_26,SQLi,Boolean,' AND LENGTH(password)>5--,403,BLOCKED,21.13
SQLI_27,SQLi,Boolean,"1 AND SUBSTRING(@@version,1,1)='5'",403,BLOCKED,23.08
SQLI_28,SQLi,Boolean,"' AND ASCII(SUBSTRING((SELECT database()),1,1))>64--",403,BLOCKED,10.04
SQLI_29,SQLi,Boolean,' AND 1=(SELECT 1 FROM users WHERE username='admin')--,403,BLOCKED,12.98
SQLI_30,SQLi,Boolean,1' AND (SELECT COUNT(*) FROM users)>0-- -,403,BLOCKED,27.22
SQLI_31,SQLi,Boolean,' AND (SELECT 1 FROM information_schema.tables WHERE table_name='users')=1--,403,BLOCKED,21.73
